signature	signatureType	outcome	model	study	Primary	Sequencing	N	Effect_size	SE	95CI_low	95CI_high	Pval
LRRC15_CAF	Signature	PFS	DI	Van_Allen	Melanoma	TPM	42	0.45	0.26	-0.05	0.96	0.0772140526157571
LRRC15_CAF	Signature	Response	Log_regression	Braun	Kidney	TPM	139	-0.2	0.39	-0.98	0.57	0.614864838783046
LRRC15_CAF	Signature	Response	Log_regression	Fumet.1	Lung	TPM	39	0.35	0.69	-1.01	1.76	0.615520817815474
LRRC15_CAF	Signature	Response	Log_regression	Fumet.2	Lung	TPM	41	-0.8	0.63	-2.12	0.41	0.208630743906212
LRRC15_CAF	Signature	Response	Log_regression	Hugo	Melanoma	FPKM	27	2.11	0.93	0.41	4.13	0.0233474824766325
LRRC15_CAF	Signature	Response	Log_regression	Jung	Lung	TPM	26	0.26	0.84	-1.4	1.97	0.757989246369922
LRRC15_CAF	Signature	Response	Log_regression	Liu	Melanoma	FPKM	112	-0.28	0.44	-1.15	0.58	0.52386253815752
LRRC15_CAF	Signature	Response	Log_regression	Mariathasan	Bladder	TPM	133	0.35	0.32	-0.27	1	0.273263721083096
LRRC15_CAF	Signature	Response	Log_regression	Mariathasan	Kidney	TPM	46	0.41	0.81	-1.16	2.07	0.611034814771383
LRRC15_CAF	Signature	Response	Log_regression	Miao.1	Kidney	TPM	28	-1.71	0.88	-3.64	-0.1	0.0523004296250036
LRRC15_CAF	Signature	Response	Log_regression	Nathanson	Melanoma	FPKM	24	0.77	0.99	-1.15	2.85	0.437289006014056
LRRC15_CAF	Signature	Response	Log_regression	Riaz	Melanoma	TPM	33	-0.44	0.77	-2	1.07	0.57063409926487
LRRC15_CAF	Signature	Response	Log_regression	Snyder	Ureteral	TPM	22	3.14	1.5	0.75	7.05	0.0364024433289665
LRRC15_CAF	Signature	Response	Log_regression	Van_Allen	Melanoma	TPM	39	0.97	0.93	-0.84	2.88	0.295350993847061
Myeloid_DC	Signature	OS	COX	Braun	Kidney	TPM	178	0.3	0.24	-0.17	0.77	0.207082036141072
Myeloid_DC	Signature	OS	COX	Hugo	Melanoma	FPKM	27	0.3	0.56	-0.8	1.4	0.588963761367302
Myeloid_DC	Signature	OS	COX	Liu	Melanoma	FPKM	121	-0.57	0.28	-1.12	-0.03	0.0390334016629811
Myeloid_DC	Signature	OS	COX	Mariathasan	Bladder	TPM	194	-0.05	0.17	-0.38	0.28	0.762386226366062
Myeloid_DC	Signature	OS	COX	Mariathasan	Kidney	TPM	67	0.12	0.31	-0.49	0.73	0.702610071146306
Myeloid_DC	Signature	OS	COX	Mariathasan	Lymph_node	TPM	26	-0.79	0.56	-1.88	0.31	0.161373455113615
Myeloid_DC	Signature	OS	COX	Mariathasan	Ureteral	TPM	26	1.08	0.44	0.22	1.95	0.0136406344935669
Myeloid_DC	Signature	OS	COX	Riaz	Melanoma	TPM	51	-0.72	0.3	-1.31	-0.13	0.0168179364183831
Myeloid_DC	Signature	OS	COX	Snyder	Ureteral	TPM	25	-0.36	0.56	-1.47	0.74	0.52103022428112
Myeloid_DC	Signature	OS	COX	Van_Allen	Melanoma	TPM	42	-0.55	0.39	-1.31	0.2	0.151488980621436
Myeloid_DC	Signature	PFS	COX	Braun	Kidney	TPM	178	0.16	0.19	-0.23	0.54	0.422880108901309
Myeloid_DC	Signature	PFS	COX	Fumet.1	Lung	TPM	44	-0.02	0.41	-0.82	0.78	0.960845030640088
Myeloid_DC	Signature	PFS	COX	Jung	Lung	TPM	26	-0.51	0.39	-1.27	0.25	0.185556917314854
Myeloid_DC	Signature	PFS	COX	Liu	Melanoma	FPKM	121	-0.46	0.24	-0.92	0.01	0.0563040215038534
Myeloid_DC	Signature	PFS	COX	Snyder	Ureteral	TPM	25	0.09	0.53	-0.94	1.12	0.861930642339405
Myeloid_DC	Signature	PFS	COX	Van_Allen	Melanoma	TPM	42	-0.29	0.34	-0.96	0.38	0.389494684438614
Myeloid_DC	Signature	OS	DI	Braun	Kidney	TPM	178	0.21	0.16	-0.11	0.52	0.196358052203729
Myeloid_DC	Signature	OS	DI	Hugo	Melanoma	FPKM	27	0.21	0.47	-0.72	1.13	0.661895124786698
Myeloid_DC	Signature	OS	DI	Liu	Melanoma	FPKM	121	-0.45	0.22	-0.87	-0.02	0.0394508577976559
Myeloid_DC	Signature	OS	DI	Mariathasan	Bladder	TPM	194	-0.08	0.14	-0.35	0.2	0.584787798151123
Myeloid_DC	Signature	OS	DI	Mariathasan	Kidney	TPM	67	0.14	0.26	-0.36	0.64	0.583882160985613
Myeloid_DC	Signature	OS	DI	Mariathasan	Lymph_node	TPM	26	-0.66	0.44	-1.52	0.2	0.133622061824128
Myeloid_DC	Signature	OS	DI	Mariathasan	Ureteral	TPM	26	1.09	0.43	0.25	1.94	0.00837338498749361
Myeloid_DC	Signature	OS	DI	Riaz	Melanoma	TPM	51	-0.6	0.27	-1.13	-0.07	0.0267618235456482
Myeloid_DC	Signature	OS	DI	Snyder	Ureteral	TPM	25	-0.17	0.43	-1	0.67	0.697695312769014
Myeloid_DC	Signature	OS	DI	Van_Allen	Melanoma	TPM	42	-0.37	0.34	-1.04	0.29	0.269218831131617
Myeloid_DC	Signature	PFS	DI	Braun	Kidney	TPM	178	0.1	0.13	-0.15	0.35	0.439089220042462
Myeloid_DC	Signature	PFS	DI	Fumet.1	Lung	TPM	44	-0.01	0.3	-0.6	0.59	0.976674645692495
Myeloid_DC	Signature	PFS	DI	Jung	Lung	TPM	26	-0.52	0.36	-1.23	0.19	0.149358000270417
Myeloid_DC	Signature	PFS	DI	Liu	Melanoma	FPKM	121	-0.29	0.18	-0.65	0.07	0.114427671758904
Myeloid_DC	Signature	PFS	DI	Snyder	Ureteral	TPM	25	0.22	0.42	-0.61	1.05	0.609018109731552
Myeloid_DC	Signature	PFS	DI	Van_Allen	Melanoma	TPM	42	-0.07	0.3	-0.66	0.52	0.812945561434852
Myeloid_DC	Signature	Response	Log_regression	Braun	Kidney	TPM	139	0.05	0.45	-0.83	0.94	0.904118229778452
Myeloid_DC	Signature	Response	Log_regression	Fumet.1	Lung	TPM	39	1.04	0.88	-0.62	2.93	0.240584726761783
Myeloid_DC	Signature	Response	Log_regression	Hugo	Melanoma	FPKM	27	-0.54	0.77	-2.13	0.96	0.488536826856219
Myeloid_DC	Signature	Response	Log_regression	Jung	Lung	TPM	26	-0.55	0.78	-2.24	0.94	0.483470897354601
Myeloid_DC	Signature	Response	Log_regression	Liu	Melanoma	FPKM	112	-0.95	0.43	-1.81	-0.13	0.0265049456359736
Myeloid_DC	Signature	Response	Log_regression	Mariathasan	Bladder	TPM	133	0.31	0.36	-0.39	1.02	0.389136781699518
Myeloid_DC	Signature	Response	Log_regression	Mariathasan	Kidney	TPM	46	0.83	0.82	-0.73	2.57	0.312311453482165
Myeloid_DC	Signature	Response	Log_regression	Riaz	Melanoma	TPM	33	-0.69	0.66	-2.06	0.58	0.296252083322279
Myeloid_DC	Signature	Response	Log_regression	Snyder	Ureteral	TPM	22	-0.68	0.93	-2.62	1.13	0.462632813768762
Myeloid_DC	Signature	Response	Log_regression	Van_Allen	Melanoma	TPM	39	-0.54	0.73	-2.04	0.88	0.45481617518428
NonResponse_Ivy	Signature	OS	COX	Braun	Kidney	TPM	178	0.93	0.28	0.38	1.47	0.000819444577793875
NonResponse_Ivy	Signature	OS	COX	Fumet.2	Lung	TPM	43	-0.03	0.49	-0.99	0.93	0.955734420832476
NonResponse_Ivy	Signature	OS	COX	Hugo	Melanoma	FPKM	27	0.54	0.85	-1.12	2.21	0.523092164812003
NonResponse_Ivy	Signature	OS	COX	Liu	Melanoma	FPKM	121	0.07	0.3	-0.52	0.66	0.809780291683114
NonResponse_Ivy	Signature	OS	COX	Mariathasan	Bladder	TPM	194	0.02	0.2	-0.37	0.41	0.926556001994236
NonResponse_Ivy	Signature	OS	COX	Mariathasan	Kidney	TPM	67	-0.27	0.32	-0.9	0.35	0.390909759712733
NonResponse_Ivy	Signature	OS	COX	Mariathasan	Lymph_node	TPM	26	0.08	0.57	-1.03	1.2	0.885539968087766
NonResponse_Ivy	Signature	OS	COX	Mariathasan	Ureteral	TPM	26	-0.97	0.55	-2.05	0.12	0.0810803860090681
NonResponse_Ivy	Signature	OS	COX	Miao.1	Kidney	TPM	33	-0.55	0.68	-1.89	0.79	0.420354300395253
NonResponse_Ivy	Signature	OS	COX	Nathanson	Melanoma	FPKM	24	0.23	0.6	-0.94	1.4	0.700232986255657
NonResponse_Ivy	Signature	OS	COX	Riaz	Melanoma	TPM	51	0.72	0.4	-0.06	1.5	0.0716706499798933
NonResponse_Ivy	Signature	OS	COX	Snyder	Ureteral	TPM	25	-0.01	0.56	-1.12	1.09	0.982871947710529
NonResponse_Ivy	Signature	OS	COX	Van_Allen	Melanoma	TPM	42	0.08	0.44	-0.78	0.94	0.858229634678999
NonResponse_Ivy	Signature	PFS	COX	Braun	Kidney	TPM	178	0.38	0.22	-0.06	0.82	0.0904204206449458
NonResponse_Ivy	Signature	PFS	COX	Fumet.1	Lung	TPM	44	-0.16	0.48	-1.09	0.77	0.735435972194458
NonResponse_Ivy	Signature	PFS	COX	Fumet.2	Lung	TPM	43	0.01	0.43	-0.83	0.84	0.988849267119511
NonResponse_Ivy	Signature	PFS	COX	Jung	Lung	TPM	26	0.56	0.65	-0.71	1.82	0.390009136774831
NonResponse_Ivy	Signature	PFS	COX	Liu	Melanoma	FPKM	121	-0.14	0.27	-0.67	0.39	0.613189970410722
NonResponse_Ivy	Signature	PFS	COX	Miao.1	Kidney	TPM	33	-0.34	1.39	-3.07	2.39	0.806632676957101
NonResponse_Ivy	Signature	PFS	COX	Snyder	Ureteral	TPM	25	-0.25	0.53	-1.3	0.8	0.638974230756179
NonResponse_Ivy	Signature	PFS	COX	Van_Allen	Melanoma	TPM	42	-0.24	0.39	-1	0.52	0.537858627204306
NonResponse_Ivy	Signature	OS	DI	Braun	Kidney	TPM	178	0.58	0.19	0.21	0.95	0.00203350480933406
NonResponse_Ivy	Signature	OS	DI	Fumet.2	Lung	TPM	43	-0.04	0.33	-0.68	0.6	0.899094799507276
NonResponse_Ivy	Signature	OS	DI	Hugo	Melanoma	FPKM	27	0.39	0.57	-0.71	1.5	0.483783977891616
NonResponse_Ivy	Signature	OS	DI	Liu	Melanoma	FPKM	121	0.12	0.2	-0.27	0.51	0.539036053970602
NonResponse_Ivy	Signature	OS	DI	Mariathasan	Bladder	TPM	194	-0.01	0.15	-0.3	0.27	0.930504119235971
NonResponse_Ivy	Signature	OS	DI	Mariathasan	Kidney	TPM	67	-0.24	0.23	-0.7	0.21	0.294276958453175
NonResponse_Ivy	Signature	OS	DI	Mariathasan	Lymph_node	TPM	26	0.08	0.47	-0.83	0.99	0.862027337767682
NonResponse_Ivy	Signature	OS	DI	Mariathasan	Ureteral	TPM	26	-0.67	0.41	-1.47	0.14	0.101768018150528
NonResponse_Ivy	Signature	OS	DI	Miao.1	Kidney	TPM	33	-0.29	0.36	-0.99	0.42	0.427112707019073
NonResponse_Ivy	Signature	OS	DI	Nathanson	Melanoma	FPKM	24	0.12	0.42	-0.71	0.95	0.771314571311885
NonResponse_Ivy	Signature	OS	DI	Riaz	Melanoma	TPM	51	0.4	0.26	-0.11	0.91	0.12171544378425
NonResponse_Ivy	Signature	OS	DI	Snyder	Ureteral	TPM	25	-0.02	0.39	-0.78	0.74	0.958360230350046
NonResponse_Ivy	Signature	OS	DI	Van_Allen	Melanoma	TPM	42	0.04	0.32	-0.58	0.66	0.902784165044973
NonResponse_Ivy	Signature	PFS	DI	Braun	Kidney	TPM	178	0.25	0.14	-0.04	0.53	0.0880593071248379
NonResponse_Ivy	Signature	PFS	DI	Fumet.1	Lung	TPM	44	-0.11	0.31	-0.71	0.49	0.715959776484607
NonResponse_Ivy	Signature	PFS	DI	Fumet.2	Lung	TPM	43	0	0.29	-0.57	0.56	0.99059468895191
NonResponse_Ivy	Signature	PFS	DI	Jung	Lung	TPM	26	0.28	0.41	-0.52	1.07	0.492670058863433
NonResponse_Ivy	Signature	PFS	DI	Liu	Melanoma	FPKM	121	-0.02	0.18	-0.38	0.34	0.915371359106803
NonResponse_Ivy	Signature	PFS	DI	Miao.1	Kidney	TPM	33	-0.58	0.76	-2.07	0.91	0.443287848682632
NonResponse_Ivy	Signature	PFS	DI	Snyder	Ureteral	TPM	25	-0.08	0.36	-0.78	0.62	0.823755629130472
NonResponse_Ivy	Signature	PFS	DI	Van_Allen	Melanoma	TPM	42	-0.21	0.29	-0.78	0.37	0.47974318484311
NonResponse_Ivy	Signature	Response	Log_regression	Braun	Kidney	TPM	139	0.57	0.49	-0.37	1.55	0.237824088894009
NonResponse_Ivy	Signature	Response	Log_regression	Fumet.1	Lung	TPM	39	-0.1	0.87	-1.84	1.63	0.912482838767578
NonResponse_Ivy	Signature	Response	Log_regression	Fumet.2	Lung	TPM	41	0.09	0.81	-1.52	1.71	0.909341947411377
NonResponse_Ivy	Signature	Response	Log_regression	Hugo	Melanoma	FPKM	27	1.15	1.06	-0.88	3.37	0.280439219534017
NonResponse_Ivy	Signature	Response	Log_regression	Jung	Lung	TPM	26	0.69	1.09	-1.46	2.94	0.524463705723421
NonResponse_Ivy	Signature	Response	Log_regression	Liu	Melanoma	FPKM	112	-0.75	0.48	-1.71	0.18	0.119628481391504
NonResponse_Ivy	Signature	Response	Log_regression	Mariathasan	Bladder	TPM	133	-0.6	0.42	-1.45	0.21	0.152152168588402
NonResponse_Ivy	Signature	Response	Log_regression	Mariathasan	Kidney	TPM	46	-1.53	0.89	-3.45	0.12	0.0838600643943146
NonResponse_Ivy	Signature	Response	Log_regression	Miao.1	Kidney	TPM	28	0.92	1.29	-1.51	3.68	0.47538858859886
NonResponse_Ivy	Signature	Response	Log_regression	Nathanson	Melanoma	FPKM	24	-0.48	1	-2.54	1.47	0.628440608437081
NonResponse_Ivy	Signature	Response	Log_regression	Riaz	Melanoma	TPM	33	-0.51	0.86	-2.29	1.16	0.557330340217984
NonResponse_Ivy	Signature	Response	Log_regression	Snyder	Ureteral	TPM	22	0.09	0.99	-1.87	2.09	0.926287080716794
NonResponse_Ivy	Signature	Response	Log_regression	Van_Allen	Melanoma	TPM	39	-1.58	1.05	-3.93	0.31	0.13305044743036
TGFB_Mariathasan	Signature	OS	COX	Braun	Kidney	TPM	178	0.03	0.25	-0.46	0.52	0.896342862863342
TGFB_Mariathasan	Signature	OS	COX	Fumet.2	Lung	TPM	43	0.28	0.51	-0.72	1.28	0.584741389542731
TGFB_Mariathasan	Signature	OS	COX	Hugo	Melanoma	FPKM	27	1.12	0.77	-0.39	2.63	0.146397597694429
TGFB_Mariathasan	Signature	OS	COX	Liu	Melanoma	FPKM	121	-0.52	0.37	-1.24	0.21	0.16038339589771
TGFB_Mariathasan	Signature	OS	COX	Mariathasan	Bladder	TPM	194	0.03	0.19	-0.34	0.41	0.862727152781785
TGFB_Mariathasan	Signature	OS	COX	Mariathasan	Kidney	TPM	67	-0.33	0.36	-1.03	0.37	0.358585286742211
TGFB_Mariathasan	Signature	OS	COX	Mariathasan	Lymph_node	TPM	26	0.29	0.58	-0.84	1.43	0.61355538115652
TGFB_Mariathasan	Signature	OS	COX	Mariathasan	Ureteral	TPM	26	1.21	0.64	-0.04	2.46	0.0579917036772461
TGFB_Mariathasan	Signature	OS	COX	Miao.1	Kidney	TPM	33	-0.49	0.57	-1.61	0.63	0.391420984129074
TGFB_Mariathasan	Signature	OS	COX	Nathanson	Melanoma	FPKM	24	-0.2	0.76	-1.69	1.29	0.793301619148807
TGFB_Mariathasan	Signature	OS	COX	Riaz	Melanoma	TPM	51	-0.1	0.42	-0.91	0.72	0.813977672726566
TGFB_Mariathasan	Signature	OS	COX	Snyder	Ureteral	TPM	25	0.52	0.47	-0.41	1.44	0.27169001495298
TGFB_Mariathasan	Signature	OS	COX	Van_Allen	Melanoma	TPM	42	0.15	0.58	-0.98	1.29	0.794000735350623
TGFB_Mariathasan	Signature	PFS	COX	Braun	Kidney	TPM	178	-0.08	0.21	-0.5	0.33	0.687968104677169
TGFB_Mariathasan	Signature	PFS	COX	Fumet.1	Lung	TPM	44	-0.43	0.51	-1.44	0.58	0.401277117501314
TGFB_Mariathasan	Signature	PFS	COX	Fumet.2	Lung	TPM	43	-0.46	0.48	-1.4	0.47	0.329416319227344
TGFB_Mariathasan	Signature	PFS	COX	Jung	Lung	TPM	26	0.44	0.58	-0.69	1.57	0.446149370884095
TGFB_Mariathasan	Signature	PFS	COX	Liu	Melanoma	FPKM	121	-0.07	0.32	-0.69	0.55	0.824641291454842
TGFB_Mariathasan	Signature	PFS	COX	Miao.1	Kidney	TPM	33	0.41	1.11	-1.78	2.59	0.713935961054794
TGFB_Mariathasan	Signature	PFS	COX	Snyder	Ureteral	TPM	25	0.54	0.44	-0.33	1.41	0.226464890141035
TGFB_Mariathasan	Signature	PFS	COX	Van_Allen	Melanoma	TPM	42	-0.26	0.52	-1.29	0.76	0.615373406811025
TGFB_Mariathasan	Signature	OS	DI	Braun	Kidney	TPM	178	-0.01	0.16	-0.32	0.31	0.96621375073164
TGFB_Mariathasan	Signature	OS	DI	Fumet.2	Lung	TPM	43	0.19	0.32	-0.44	0.81	0.560031429923783
TGFB_Mariathasan	Signature	OS	DI	Hugo	Melanoma	FPKM	27	0.67	0.52	-0.34	1.69	0.190698343198768
TGFB_Mariathasan	Signature	OS	DI	Liu	Melanoma	FPKM	121	-0.32	0.22	-0.75	0.12	0.152450069489601
TGFB_Mariathasan	Signature	OS	DI	Mariathasan	Bladder	TPM	194	0.04	0.14	-0.23	0.31	0.75481653545528
TGFB_Mariathasan	Signature	OS	DI	Mariathasan	Kidney	TPM	67	-0.17	0.23	-0.62	0.28	0.46058463652256
TGFB_Mariathasan	Signature	OS	DI	Mariathasan	Lymph_node	TPM	26	0.21	0.38	-0.54	0.96	0.57645624794638
TGFB_Mariathasan	Signature	OS	DI	Mariathasan	Ureteral	TPM	26	1.16	0.5	0.18	2.14	0.0177238179701357
TGFB_Mariathasan	Signature	OS	DI	Miao.1	Kidney	TPM	33	-0.48	0.36	-1.19	0.23	0.186268132035486
TGFB_Mariathasan	Signature	OS	DI	Nathanson	Melanoma	FPKM	24	-0.12	0.46	-1.03	0.78	0.789784566021954
TGFB_Mariathasan	Signature	OS	DI	Riaz	Melanoma	TPM	51	0	0.26	-0.51	0.5	0.998112186461398
TGFB_Mariathasan	Signature	OS	DI	Snyder	Ureteral	TPM	25	0.35	0.37	-0.37	1.07	0.339084571988827
TGFB_Mariathasan	Signature	OS	DI	Van_Allen	Melanoma	TPM	42	0.1	0.32	-0.54	0.73	0.76560404451071
TGFB_Mariathasan	Signature	PFS	DI	Braun	Kidney	TPM	178	-0.08	0.14	-0.34	0.19	0.573245165627703
TGFB_Mariathasan	Signature	PFS	DI	Fumet.1	Lung	TPM	44	-0.22	0.33	-0.87	0.42	0.499060063397324
TGFB_Mariathasan	Signature	PFS	DI	Fumet.2	Lung	TPM	43	-0.27	0.31	-0.87	0.32	0.36836081267388
TGFB_Mariathasan	Signature	PFS	DI	Jung	Lung	TPM	26	0.32	0.37	-0.41	1.04	0.391565383958249
TGFB_Mariathasan	Signature	PFS	DI	Liu	Melanoma	FPKM	121	-0.07	0.19	-0.44	0.31	0.719962030742813
TGFB_Mariathasan	Signature	PFS	DI	Miao.1	Kidney	TPM	33	0.11	0.74	-1.34	1.56	0.882554184093276
TGFB_Mariathasan	Signature	PFS	DI	Snyder	Ureteral	TPM	25	0.37	0.34	-0.29	1.03	0.273471650094537
TGFB_Mariathasan	Signature	PFS	DI	Van_Allen	Melanoma	TPM	42	-0.16	0.29	-0.73	0.41	0.582808390437757
TGFB_Mariathasan	Signature	Response	Log_regression	Braun	Kidney	TPM	139	-0.53	0.48	-1.49	0.41	0.271737709389122
TGFB_Mariathasan	Signature	Response	Log_regression	Fumet.1	Lung	TPM	39	0.07	0.87	-1.67	1.82	0.940549567012878
TGFB_Mariathasan	Signature	Response	Log_regression	Fumet.2	Lung	TPM	41	-1.51	0.92	-3.45	0.22	0.101163046034597
TGFB_Mariathasan	Signature	Response	Log_regression	Hugo	Melanoma	FPKM	27	3.41	1.37	1.02	6.54	0.0128294461399804
TGFB_Mariathasan	Signature	Response	Log_regression	Jung	Lung	TPM	26	0.62	1.14	-1.58	3.04	0.586778601102547
TGFB_Mariathasan	Signature	Response	Log_regression	Liu	Melanoma	FPKM	112	-0.33	0.52	-1.36	0.69	0.525101526848046
TGFB_Mariathasan	Signature	Response	Log_regression	Mariathasan	Bladder	TPM	133	0.43	0.41	-0.38	1.25	0.304334288559041
TGFB_Mariathasan	Signature	Response	Log_regression	Mariathasan	Kidney	TPM	46	0.06	0.98	-1.86	2.07	0.94838209705311
TGFB_Mariathasan	Signature	Response	Log_regression	Miao.1	Kidney	TPM	28	-3.37	1.35	-6.45	-1.02	0.0122198869457029
TGFB_Mariathasan	Signature	Response	Log_regression	Nathanson	Melanoma	FPKM	24	-0.01	1.18	-2.37	2.39	0.993860769297872
TGFB_Mariathasan	Signature	Response	Log_regression	Riaz	Melanoma	TPM	33	-0.68	0.99	-2.72	1.26	0.492023078439553
TGFB_Mariathasan	Signature	Response	Log_regression	Snyder	Ureteral	TPM	22	1.26	0.98	-0.55	3.41	0.199508321865887
TGFB_Mariathasan	Signature	Response	Log_regression	Van_Allen	Melanoma	TPM	39	-0.77	1.14	-3.13	1.46	0.500982532673981
COX_IS	Signature	OS	COX	Braun	Kidney	TPM	178	-0.14	0.1	-0.33	0.06	0.178604820089752
COX_IS	Signature	OS	COX	Fumet.2	Lung	TPM	43	-0.07	0.2	-0.46	0.32	0.720014104414892
COX_IS	Signature	OS	COX	Hugo	Melanoma	FPKM	27	0.23	0.27	-0.3	0.76	0.394584426750184
COX_IS	Signature	OS	COX	Hwang	Lung	TPM	21	0.4	0.31	-0.2	0.99	0.195257402716457
