signature	variable	outcome	model	Subgroup	Type	N	Effect_size	SE	95CI_low	95CI_high	Pval	I2	Pval_I2
nsTMB	10TMB	OS	COX	Sequencing	WES	8	-0.538601600717458	0.157261577490306	-0.846828628750413	-0.230374572684504	0.000615077227096608	0	0.442162132252998
nsTMB	10TMB	OS	COX	Sequencing	TGS	11	-0.470316064563713	0.0978606152194332	-0.662119345898734	-0.278512783228692	1.53996041124404e-06	0	0.55913792443326
nsTMB	continuous	PFS	COX	ALL	ALL	15	-0.430133809547536	0.127507879333251	-0.680044660785787	-0.180222958309285	0.000742486968460702	0.304406522769798	0.126197255436307
nsTMB	continuous	PFS	COX	Tumor	Melanoma	4	-0.26893964376305	0.172154624387839	-0.606356507335235	0.0684772198091359	0.118241305322966	0.493840166619307	0.115217279240205
nsTMB	continuous	PFS	COX	Tumor	Lung	4	-1.56300004617422	0.442025655219645	-2.42935441064744	-0.696645681700997	0.000406243984525582	0.0699549631759927	0.358125518789603
nsTMB	continuous	PFS	COX	Tumor	Kidney	2	NA	NA	NA	NA	NA	NA	NA
nsTMB	continuous	PFS	COX	Sequencing	WES	10	-0.26682351646136	0.123518835513111	-0.508915985479385	-0.0247310474433357	0.0307583629405	0.36964534242863	0.112784907028511
nsTMB	continuous	PFS	COX	Sequencing	TGS	5	-0.575202341945497	0.174017227849812	-0.916269841220629	-0.234134842670365	0.000948296676074941	0	0.464758570147537
nsTMB	median	PFS	COX	ALL	ALL	11	-0.282084272402998	0.14761704502659	-0.571408364159342	0.0072398193533465	0.0560149419236892	0.579744253034378	0.00816341805567103
nsTMB	median	PFS	COX	Tumor	Melanoma	3	-0.40010561540192	0.238567460877576	-0.867689246605138	0.0674780158012975	0.0935195468413579	0.679045797765837	0.044347039635
nsTMB	median	PFS	COX	Tumor	Lung	2	NA	NA	NA	NA	NA	NA	NA
nsTMB	median	PFS	COX	Tumor	Kidney	1	NA	NA	NA	NA	NA	NA	NA
nsTMB	median	PFS	COX	Sequencing	WES	6	-0.176598363349525	0.219590675527471	-0.60698817872419	0.25379145202514	0.421272164609357	0.636836818477488	0.0171528352298842
nsTMB	median	PFS	COX	Sequencing	TGS	5	-0.478594226473655	0.160617382280837	-0.793398511035197	-0.163789941912114	0.0028851548830447	0	0.475662428776662
nsTMB	10TMB	PFS	COX	ALL	ALL	9	-0.382797475486812	0.11967590262826	-0.617357934455524	-0.148237016518099	0.00138088091942924	0	0.437627889397995
nsTMB	10TMB	PFS	COX	Tumor	Melanoma	4	-0.29675083423704	0.213988435017467	-0.716160459979365	0.122658791505284	0.165514627172062	0.562169409436543	0.0767688473722583
nsTMB	10TMB	PFS	COX	Tumor	Lung	1	NA	NA	NA	NA	NA	NA	NA
nsTMB	10TMB	PFS	COX	Tumor	Kidney	0	NA	NA	NA	NA	NA	NA	NA
nsTMB	10TMB	PFS	COX	Sequencing	WES	4	-0.174061186611684	0.164587265429469	-0.496646299167377	0.148523925944009	0.290255315864899	0.0474410735025202	0.369157586009545
nsTMB	10TMB	PFS	COX	Sequencing	TGS	5	-0.598828032154458	0.166760596711985	-0.925672795750357	-0.27198326855856	0.00032948191496424	0	0.822828382700357
nsTMB	continuous	OS	DI	ALL	ALL	27	-0.280828569879649	0.0426189557381758	-0.364360188185181	-0.197296951574118	4.4194104265315e-11	0.00584988238584914	0.454720068082228
nsTMB	continuous	OS	DI	Tumor	Melanoma	7	-0.441612374795071	0.0960311868676786	-0.629830042448356	-0.253394707141785	4.25268149340439e-06	0.232995572054651	0.251387257878625
nsTMB	continuous	OS	DI	Tumor	Lung	2	NA	NA	NA	NA	NA	NA	NA
nsTMB	continuous	OS	DI	Tumor	Kidney	4	-0.115665920770485	0.0992334734799615	-0.31015995485202	0.07882811331105	0.243778718484316	0	0.680972341691971
nsTMB	continuous	OS	DI	Sequencing	WES	11	-0.363388937297542	0.106482967050705	-0.572091717683888	-0.154686156911196	0.000643348655291675	0.334896650702479	0.130781715596098
nsTMB	continuous	OS	DI	Sequencing	TGS	16	-0.266102341088429	0.0510479766120391	-0.366154536731668	-0.166050145445189	1.86022243342441e-07	0	0.761625611221153
nsTMB	continuous	PFS	DI	ALL	ALL	15	-0.298670354020535	0.0898391441824931	-0.474751841020122	-0.122588867020947	0.000885768120379755	0.385726503654126	0.0637540903463922
nsTMB	continuous	PFS	DI	Tumor	Melanoma	4	-0.218240402452624	0.143439321791265	-0.499376307130355	0.0628955022251069	0.128138826650009	0.484725154698103	0.12059176274211
nsTMB	continuous	PFS	DI	Tumor	Lung	4	-0.626405614786991	0.258668452162896	-1.13338646496299	-0.119424764610993	0.01545003294136	0.556737710989921	0.0796717055103643
nsTMB	continuous	PFS	DI	Tumor	Kidney	2	NA	NA	NA	NA	NA	NA	NA
nsTMB	continuous	PFS	DI	Sequencing	WES	10	-0.218421662982641	0.112761427756285	-0.439430000230276	0.00258667426499359	0.0527423325743047	0.421657961025433	0.0766174401420114
nsTMB	continuous	PFS	DI	Sequencing	TGS	5	-0.434056050041657	0.120454013585201	-0.670141578461949	-0.197970521621365	0.000313960626093369	0	0.51810273254812
nsTMB	continuous	Response	Log_regression	ALL	ALL	20	-1.06373403137397	0.185496566220486	-1.42730062042197	-0.700167442325973	9.77880696130927e-09	0.272441272536647	0.127023758108672
nsTMB	continuous	Response	Log_regression	Tumor	Melanoma	7	-0.934912802966391	0.199533052361868	-1.325990399321	-0.543835206611784	2.79272609553298e-06	0	0.578696115007945
nsTMB	continuous	Response	Log_regression	Tumor	Lung	4	-3.07007649241419	0.941111652736508	-4.91462143720871	-1.22553154761966	0.00110558552304394	0	0.407063387199621
nsTMB	continuous	Response	Log_regression	Tumor	Kidney	3	-0.0924773294590549	2.52763864273497	-5.0465580351513	4.86160337623319	0.970814746168096	0.673847430020741	0.0466048934975496
nsTMB	continuous	Response	Log_regression	Sequencing	WES	13	-0.857613724537124	0.203203212080373	-1.25588470175751	-0.459342747316739	2.43789966360473e-05	0.338033279566657	0.111864830690151
nsTMB	continuous	Response	Log_regression	Sequencing	TGS	7	-1.46574292451222	0.336517732432581	-2.12530556023916	-0.806180288785272	1.32691593222356e-05	0	0.480272724248579
nsTMB	median	Response	Log_regression	ALL	ALL	17	-0.638464093767922	0.210298094733258	-1.0506407854625	-0.226287402073343	0.0023974284976827	0.410881840564531	0.039746829992232
nsTMB	median	Response	Log_regression	Tumor	Melanoma	7	-0.816399819776442	0.210434047953694	-1.22884297488666	-0.403956664666227	0.000104628610841013	0.0535756636320952	0.386236808216226
nsTMB	median	Response	Log_regression	Tumor	Lung	2	NA	NA	NA	NA	NA	NA	NA
nsTMB	median	Response	Log_regression	Tumor	Kidney	2	NA	NA	NA	NA	NA	NA	NA
nsTMB	median	Response	Log_regression	Sequencing	WES	11	-0.446728711105144	0.267457970661392	-0.970936700979642	0.0774792787693542	0.0948647089196014	0.452134234235216	0.0508484935122002
nsTMB	median	Response	Log_regression	Sequencing	TGS	6	-1.09649240941664	0.249643470414162	-1.58578462040399	-0.607200198429295	1.121921195694e-05	0	0.534267820121164
nsTMB	10TMB	Response	Log_regression	ALL	ALL	12	-0.829917585224865	0.184202609917408	-1.19094806652127	-0.468887103928466	6.62291547219682e-06	0	0.991058255716687
nsTMB	10TMB	Response	Log_regression	Tumor	Melanoma	7	-0.81431486893388	0.20855834221209	-1.22308170834496	-0.405548029522805	9.44225977143812e-05	0	0.889629612628474
nsTMB	10TMB	Response	Log_regression	Tumor	Lung	1	NA	NA	NA	NA	NA	NA	NA
nsTMB	10TMB	Response	Log_regression	Tumor	Kidney	0	NA	NA	NA	NA	NA	NA	NA
nsTMB	10TMB	Response	Log_regression	Sequencing	WES	7	-0.653065327346133	0.234576350538014	-1.11282652602548	-0.193304128666783	0.00536896698592868	0	0.986008301051293
nsTMB	10TMB	Response	Log_regression	Sequencing	TGS	5	-1.11437228351453	0.297498976974885	-1.69745956382281	-0.531285003206244	0.000179818330190326	0	0.973264196937466
